0x7C74	U+28+70+65	# パーカッション1 (pe
0x7C75	U+72+29	# パーカッション2 r)
0x7C76	U+1F12C	# レコード
0x7C77	U+1F12B	# シングル・CD
0x7C78	U+3247	# 筝琴
0x7C79	U+1F190	# ディスクジョッキー
0x7C7A	U+1F226	# 演奏者
0x7C7B	U+213B	# ファクシミリ
0x7D21	U+322A	# ㈪
0x7D22	U+322B	# ㈫
0x7D23	U+322C	# ㈬
0x7D24	U+322D	# ㈭
0x7D25	U+322E	# ㈮
0x7D26	U+322F	# ㈯
0x7D27	U+3230	# ㈰
0x7D28	U+3237	# ㈷
0x7D29	U+337E	# ㍾
0x7D2A	U+337D	# ㍽
0x7D2B	U+337C	# ㍼
0x7D2C	U+337B	# ㍻
0x7D2D	U+2116	# №
0x7D2E	U+2121	# ℡
0x7D2F	U+3036	# 〶
0x7D30	U+26BE	# ⚾
0x7D31	U+1F240	# 🉀
0x7D32	U+1F241	# 🉁
0x7D33	U+1F242	# 🉂
0x7D34	U+1F243	# 🉃
0x7D35	U+1F244	# 🉄
0x7D36	U+1F245	# 🉅
0x7D37	U+1F246	# 🉆
0x7D38	U+1F247	# 🉇
0x7D39	U+1F248	# 🉈
0x7D3A	U+1F12A	# 🄪
0x7D3B	U+1F227	# 🈧
0x7D3C	U+1F228	# 🈨
0x7D3D	U+1F229	# 🈩
0x7D3E	U+1F214	# 🈔
0x7D3F	U+1F22A	# 🈪
0x7D40	U+1F22B	# 🈫
0x7D41	U+1F22C	# 🈬
0x7D42	U+1F22D	# 🈭
0x7D43	U+1F22E	# 🈮
0x7D44	U+1F22F	# 🈯
0x7D45	U+1F230	# 🈰
0x7D46	U+1F231	# 🈱
0x7D47	U+2113	# ℓ
0x7D48	U+338F	# ㎏
0x7D49	U+3390	# ㎐
0x7D4A	U+33CA	# ㏊
0x7D4B	U+339E	# ㎞
0x7D4C	U+33A2	# ㎢
0x7D4D	U+3371	# ㍱
0x7D50	U+00BD	# ½
0x7D51	U+2189	# ↉
0x7D52	U+2153	# ⅓
0x7D53	U+2154	# ⅔
0x7D54	U+00BC	# ¼
0x7D55	U+00BE	# ¾
0x7D56	U+2155	# ⅕
0x7D57	U+2156	# ⅖
0x7D58	U+2157	# ⅗
0x7D59	U+2158	# ⅘
0x7D5A	U+2159	# ⅙
0x7D5B	U+215A	# ⅚
0x7D5C	U+2150	# ⅐
0x7D5D	U+215B	# ⅛
0x7D5E	U+2151	# ⅑
0x7D5F	U+2152	# ⅒
0x7D60	U+2600	# ☀
0x7D61	U+2601	# ☁
0x7D62	U+2602	# ☂
0x7D63	U+26C4	# ⛄
0x7D64	U+2616	# ☖
0x7D65	U+2617	# ☗
0x7D66	U+26C9	# ⛉
0x7D67	U+26CA	# ⛊
0x7D68	U+2666	# ♦
0x7D69	U+2665	# ♥
0x7D6A	U+2663	# ♣
0x7D6B	U+2660	# ♠
0x7D6C	U+26CB	# ⛋
0x7D6D	U+2A00	# ⨀
0x7D6E	U+203C	# ‼
0x7D6F	U+2049	# ⁉
0x7D70	U+26C5	# ⛅
0x7D71	U+2614	# ☔
0x7D72	U+26C6	# ⛆
0x7D73	U+2603	# ☃
0x7D74	U+26C7	# ⛇
0x7D75	U+26A1	# ⚡
0x7D76	U+26C8	# ⛈
0x7D78	U+269E	# ⚞
0x7D79	U+269F	# ⚟
0x7D7A	U+266C	# ♬
0x7D7B	U+260E	# ☎
0x7E21	U+2160	# Ⅰ
0x7E22	U+2161	# Ⅱ
0x7E23	U+2162	# Ⅲ
0x7E24	U+2163	# Ⅳ
0x7E25	U+2164	# Ⅴ
0x7E26	U+2165	# Ⅵ
0x7E27	U+2166	# Ⅶ
